epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.24093,0,8.02346,0,0,0,0,0,0,4.42969,0,0,0,0
2,3.49853,0,8.04648,0,0,0,0,0,0,4.42969,0,9.87625e-06,9.87625e-06,9.87625e-06
3,3.74972,0,8.02852,0,0,0,0,0,0,4.42969,0,1.9505e-05,1.9505e-05,1.9505e-05
4,4.00737,0,8.02073,0,0,0,0,0,0,4.42969,0,2.88863e-05,2.88863e-05,2.88863e-05
5,4.26812,0,8.00344,0,0,0,0,0,0,4.42969,0,3.802e-05,3.802e-05,3.802e-05
6,4.55276,0,7.96815,0,0,0,0,0,0,4.42969,0,4.69063e-05,4.69063e-05,4.69063e-05
7,4.81589,0,7.94658,0,0,0,0,0,0,4.42969,0,5.5545e-05,5.5545e-05,5.5545e-05
8,5.05701,0,7.91302,0,0,0,0,0,0,4.42969,0,6.39362e-05,6.39362e-05,6.39362e-05
9,5.26338,0,7.89214,0,0,0,0,0,0,4.42969,0,7.208e-05,7.208e-05,7.208e-05
10,5.57088,0,7.88304,0,0,0,0,0,0,4.42969,0,7.99762e-05,7.99762e-05,7.99762e-05
11,5.80331,0,7.85557,0,0,0,0,0,0,4.42969,0,8.7625e-05,8.7625e-05,8.7625e-05
12,6.03019,0,7.86395,0,0,0,0,0,0,4.42969,0,9.50263e-05,9.50263e-05,9.50263e-05
13,6.2658,0,7.82811,0,0,0,0,0,0,4.42969,0,0.00010218,0.00010218,0.00010218
14,6.53786,0,7.8328,0,0,0,0,0,0,4.42969,0,0.000109086,0.000109086,0.000109086
15,6.77461,0,7.76708,0,0,0,0,0,0,4.42969,0,0.000115745,0.000115745,0.000115745
16,6.9942,0,7.76074,0,0,0,0,0,0,4.42969,0,0.000122156,0.000122156,0.000122156
17,7.25333,0,7.7445,0,0,0,0,0,0,4.42969,0,0.00012832,0.00012832,0.00012832
18,7.50287,0,7.72583,0,0,0,0,0,0,4.42969,0,0.000134236,0.000134236,0.000134236
