epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.30975,0,8.02346,0,0,0,0,0,0,4.42969,0,0,0,0
2,1.62003,0,8.04648,0,0,0,0,0,0,4.42969,0,9.87625e-06,9.87625e-06,9.87625e-06
3,1.87467,0,8.02852,0,0,0,0,0,0,4.42969,0,1.9505e-05,1.9505e-05,1.9505e-05
4,2.15455,0,8.02073,0,0,0,0,0,0,4.42969,0,2.88863e-05,2.88863e-05,2.88863e-05
5,2.45818,0,8.00344,0,0,0,0,0,0,4.42969,0,3.802e-05,3.802e-05,3.802e-05
6,2.76585,0,7.96815,0,0,0,0,0,0,4.42969,0,4.69063e-05,4.69063e-05,4.69063e-05
7,3.06958,0,7.94658,0,0,0,0,0,0,4.42969,0,5.5545e-05,5.5545e-05,5.5545e-05
8,3.37585,0,7.91302,0,0,0,0,0,0,4.42969,0,6.39362e-05,6.39362e-05,6.39362e-05
9,3.7419,0,7.89214,0,0,0,0,0,0,4.42969,0,7.208e-05,7.208e-05,7.208e-05
10,4.05155,0,7.88304,0,0,0,0,0,0,4.42969,0,7.99762e-05,7.99762e-05,7.99762e-05
11,4.29502,0,7.85557,0,0,0,0,0,0,4.42969,0,8.7625e-05,8.7625e-05,8.7625e-05
12,4.54173,0,7.86395,0,0,0,0,0,0,4.42969,0,9.50263e-05,9.50263e-05,9.50263e-05
13,4.77358,0,7.82811,0,0,0,0,0,0,4.42969,0,0.00010218,0.00010218,0.00010218
14,5.0266,0,7.8328,0,0,0,0,0,0,4.42969,0,0.000109086,0.000109086,0.000109086
15,5.26482,0,7.76708,0,0,0,0,0,0,4.42969,0,0.000115745,0.000115745,0.000115745
16,5.53033,0,7.76074,0,0,0,0,0,0,4.42969,0,0.000122156,0.000122156,0.000122156
17,5.77783,0,7.7445,0,0,0,0,0,0,4.42969,0,0.00012832,0.00012832,0.00012832
18,6.01601,0,7.72583,0,0,0,0,0,0,4.42969,0,0.000134236,0.000134236,0.000134236
19,6.2506,0,7.72028,0,0,0,0,0,0,4.42969,0,0.000139905,0.000139905,0.000139905
